species,wing_length,secondary,mass
Accipiter albogularis,235.2,159.5,248.8
Accipiter badius,186.7,127.4,131.2
Accipiter bicolor,229.6,174.8,287.5
Accipiter brachyurus,202.2,138.1,142
Accipiter brevipes,217.6,129.9,186.5
Accipiter butleri,166,123.1,122
Accipiter castanilius,163.5,123.1,157.5
Accipiter cirrocephalus,213,133.7,165.7
Accipiter collaris,165.9,115.2,97.8
Accipiter cooperii,241.2,163.5,429.7
Accipiter erythrauchen,191.2,132.4,156
Accipiter erythropus,154.6,110.1,111.2
Accipiter fasciatus,269.9,167.3,358.7
Accipiter francesiae,155.8,112.8,136.8
Accipiter gentilis,337.6,215,866
Accipiter griseiceps,187.2,137.3,251.8
Accipiter gularis,162.6,109,120.7
Accipiter gundlachi,228,166.2,675
Accipiter haplochrous,227.8,153.2,198.4
Accipiter henicogrammus,230.2,160.5,358.7
Accipiter henstii,290.5,212.5,1050
Accipiter hiogaster,200.3,137.8,326.1
Accipiter imitator,200,140,222.5
Accipiter luteoschistaceus,188,131,214
Accipiter madagascariensis,190.8,136.2,180.4
Accipiter melanochlamys,228.6,156.2,265
Accipiter melanoleucus,302.8,200.8,699
Accipiter meyerianus,309.5,207.5,763.5
Accipiter minullus,150.4,105.8,87.4
Accipiter nanus,152.4,107.5,117
Accipiter nisus,207.4,134.3,220.8
Accipiter novaehollandiae,261.9,188.3,326.1
Accipiter ovampensis,222.4,138.5,195
Accipiter poliocephalus,210.5,142.8,214.8
Accipiter poliogaster,240.4,172.2,315
Accipiter princeps,266.3,188.5,214.8
Accipiter rhodogaster,172.6,122.4,172.7
Accipiter rufitorques,217.6,142,209
Accipiter rufiventris,218.6,134.3,198
Accipiter soloensis,187.8,114.4,164.8
Accipiter striatus,181.6,126.8,130.6
Accipiter superciliosus,146.4,105.2,96.4
Accipiter tachiro,217.4,161.8,290.2
Accipiter toussenelii,189,149.6,249.3
Accipiter trinotatus,162.9,115,146
Accipiter trivirgatus,216.2,166.1,265
Accipiter virgatus,167.7,123.1,117
Aegypius monachus,734.2,432,9320.6
Aquila adalberti,592.5,357.5,2958
Aquila africana,342.2,248.4,1047
Aquila audax,617.7,373.2,3449.9
Aquila chrysaetos,603.1,381.9,4248
Aquila fasciata,486.8,305,1936.5
Aquila gurneyi,544.5,360.8,3060
Aquila heliaca,582.2,354,3125.2
Aquila nipalensis,559.6,332,2714.3
Aquila rapax,506.6,310,2236.1
Aquila spilogaster,427.6,278.8,1466.2
Aquila verreauxii,590.2,389.8,4195
Aviceda cuculoides,264.6,153.5,277
Aviceda jerdoni,302.8,222.9,363
Aviceda leuphotes,230.6,150.2,194
Aviceda madagascariensis,314.2,207.5,277
Aviceda subcristata,336.6,200,322.7
Busarellus nigricollis,393.5,283.1,766.1
Butastur indicus,327.6,175.9,414.6
Butastur liventer,275,159.4,338
Butastur rufipennis,311.2,170,334.9
Butastur teesa,295.4,165,325
Buteo albigula,291,181.4,525
Buteo albonotatus,398,236.7,745.9
Buteo archeri,390.8,265.2,1099.2
Buteo augur,418,289.8,1099.2
Buteo auguralis,356.2,223.4,663.9
Buteo bannermani,383.2,237.2,759.1
Buteo brachypterus,315.4,215.2,511
Buteo brachyurus,307.6,213.3,496
Buteo buteo,383.2,237.2,759.1
Buteo galapagoensis,402.6,229.2,1137.4
Buteo hemilasius,467.2,290.2,1358.9
Buteo jamaicensis,402.8,270.8,1101.2
Buteo japonicus,395,232,759.1
Buteo lagopus,428.3,248.5,949.8
Buteo lineatus,319,212.8,603.7
Buteo nitidus,247.3,189.5,519
Buteo oreophilus,346,221.3,700
Buteo plagiatus,267.9,186.3,519
Buteo platypterus,277.7,177.4,453.7
Buteo refectus,346,220.3,759.1
Buteo regalis,431,254.5,1437.2
Buteo ridgwayi,222.5,148.6,315
Buteo rufinus,447.5,266.8,1166.2
Buteo rufofuscus,413.2,275.9,1530
Buteo socotraensis,323,207.2,759.1
Buteo solitarius,270.2,178,500.9
Buteo swainsoni,383.7,201.8,946.6
Buteo trizonatus,345.8,214.2,568
Buteo ventralis,359,240.6,1190.5
Buteogallus aequinoctialis,316.2,237.5,657.6
Buteogallus anthracinus,355.2,239.5,975.1
Buteogallus coronatus,533,361.2,2950
Buteogallus gundlachii,348.1,235.6,975.1
Buteogallus lacernulatus,293.8,207.2,312
Buteogallus meridionalis,416.4,287.4,808
Buteogallus schistaceus,272,204.5,1000
Buteogallus solitarius,526.2,370.9,3000
Buteogallus urubitinga,399.7,309.4,1152.9
Chelictinia riocourii,240.2,108.5,110
Chondrohierax uncinatus,280.1,216.9,286.1
Circaetus beaudouini,501.8,280.5,1500
Circaetus cinerascens,379.5,264.2,1126
Circaetus cinereus,517.8,295.2,2048
Circaetus fasciolatus,362.2,260.8,1013.6
Circaetus gallicus,537,320.2,1699.1
Circaetus pectoralis,527.8,303.5,1500
Circus aeruginosus,405.7,221.2,704.1
Circus approximans,406.9,225,746.2
Circus assimilis,421.6,234,558.6
Circus buffoni,436,226,507.4
Circus cinereus,344.5,194.7,399.7
Circus cyaneus,352.4,197.1,393
Circus hudsonius,360.9,199.8,393
Circus macrosceles,420.9,220.8,663.6
Circus macrourus,351.2,168.4,384.4
Circus maillardi,353.2,214.8,663.6
Circus maurus,352.4,203.5,509
Circus melanoleucos,352.6,176.5,336.3
Circus pygargus,362.3,173.3,310.8
Circus ranivorus,363.2,207.5,507
Circus spilonotus,407.2,213,558.8
Circus spilothorax,377.4,244.4,558.8
Clanga clanga,510.6,314.8,2154.3
Clanga hastata,456.5,264.8,1359.4
Clanga pomarina,459.3,271,1359.4
Cryptoleucopteryx plumbea,238,164.8,482
Dryotriorchis spectabilis,290.5,213.5,697
Elanoides forficatus,412.8,214.7,416.2
Elanus axillaris,288.4,135.2,270.1
Elanus caeruleus,286.3,160.2,259.8
Elanus leucurus,294,168.4,346
Elanus scriptus,302.2,153.5,316
Erythrotriorchis buergersi,310.7,205.2,575
Erythrotriorchis radiatus,387.2,225.5,887.4
Eutriorchis astur,318.5,244.3,700
Gampsonyx swainsonii,147.7,96.8,92.9
Geranoaetus albicaudatus,427,279,885
Geranoaetus melanoleucus,496.2,313.5,2378.6
Geranoaetus polyosoma,402,249.8,782.6
Geranospiza caerulescens,269.1,205.4,302.5
Gypaetus barbatus,760.6,378,5695
Gypohierax angolensis,419,296.6,1600
Gyps africanus,578.4,349.2,5433
Gyps bengalensis,551.6,337.8,4385
Gyps coprotheres,687.2,421.2,8177
Gyps fulvus,687.2,415.8,7436
Gyps himalayensis,759.8,490.2,9798
Gyps indicus,585.6,360,5515
Gyps rueppelli,627.8,391.8,7400
Gyps tenuirostris,592.2,371.8,5515
Haliaeetus albicilla,599.5,370.9,4729.3
Haliaeetus humilis,353.2,234.4,782
Haliaeetus ichthyaetus,471.2,330.4,1590
Haliaeetus leucocephalus,601.8,353,4700.6
Haliaeetus leucogaster,556.7,330.2,2827
Haliaeetus leucoryphus,566.6,322.8,2885.9
Haliaeetus pelagicus,598.5,412.2,7757
Haliaeetus sanfordi,523.2,336.4,1980
Haliaeetus vocifer,548.2,366,3400
Haliaeetus vociferoides,487.2,333,3000
Haliastur indus,399.8,257.2,529
Haliastur sphenurus,407.4,221.5,753
Hamirostra melanosternon,472.6,226,1196
Harpagus bidentatus,210.3,153.7,215.3
Harpagus diodon,201.4,140.3,200
Harpia harpyja,569.5,285.7,4800
Harpyopsis novaeguineae,426.2,354.1,1959.6
Helicolestes hamatus,290.3,225.8,425.5
Henicopernis infuscatus,337,210,571.2
Henicopernis longicauda,394.6,241.5,571.2
Hieraaetus ayresii,383.5,251.8,806.1
Hieraaetus morphnoides,364.8,198,775.1
Hieraaetus pennatus,361.8,209.1,823.8
Hieraaetus wahlbergi,413.8,235.5,640
Hieraaetus weiskei,337,225.5,775.1
Ictinaetus malaiensis,552.8,316.8,1028
Ictinia mississippiensis,291.8,135.2,276
Ictinia plumbea,285.6,164.9,249.9
Kaupifalco monogrammicus,217.4,146.8,278.9
Leptodon cayanensis,302.8,245.8,474
Leptodon forbesi,316.2,226.8,577
Leucopternis kuhli,207.6,156.6,352.1
Leucopternis melanops,210.8,149.2,312
Leucopternis semiplumbeus,191,146.5,285
Lophaetus occipitalis,373.6,255.3,1067
Lophoictinia isura,471.2,244.2,579.4
Lophotriorchis kienerii,366.2,227.5,799
Macheiramphus alcinus,360.2,186,650
Megatriorchis doriae,290.5,214.9,1000
Melierax canorus,353,215.8,663.3
Melierax metabates,317.6,208.9,674.5
Melierax poliopterus,305.8,193.1,629.9
Micronisus gabar,187,123.7,169.6
Milvus migrans,457.4,237.5,734.1
Milvus milvus,481.5,241.6,1071.8
Morphnarchus princeps,364.7,257.2,1000
Morphnus guianensis,464.8,358.6,1750
Necrosyrtes monachus,471.4,288,2043
Neophron percnopterus,490.8,255,2082
Nisaetus alboniger,325.2,245.2,830
Nisaetus bartelsi,378,294.5,830
Nisaetus cirrhatus,414.6,298.5,1475.1
Nisaetus floris,436.7,320.8,1475.1
Nisaetus kelaarti,405.8,309.8,3005
Nisaetus lanceolatus,373,285.8,1168
Nisaetus nanus,312.7,234.6,557.8
Nisaetus nipalensis,438,325.5,3005
Nisaetus philippensis,355.2,262.2,1168
Nisaetus pinskeri,349,276,1168
Parabuteo leucorrhous,241,174.2,290
Parabuteo unicinctus,320.8,223.2,850.3
Pernis apivorus,407.4,253,754.4
Pernis celebensis,350.2,253.5,722
Pernis ptilorhynchus,413.6,278.6,1141.1
Pernis steerei,378.5,265.2,722
Pithecophaga jefferyi,585.8,407.1,5175.3
Polemaetus bellicosus,571.6,374.2,3964.5
Polyboroides radiatus,397.4,287,633.2
Polyboroides typus,443.1,285.5,633.2
Pseudastur albicollis,358.3,273.6,703.7
Pseudastur occidentalis,346.2,248.5,660
Pseudastur polionotus,365.8,245.5,703.7
Rostrhamus sociabilis,344.8,206.7,366.9
Rupornis magnirostris,220.9,164.6,269
Sarcogyps calvus,570,322,4469.9
Spilornis cheela,373.7,261.1,597.7
Spilornis elgini,365.4,255.8,895
Spilornis holospilus,340.1,234.5,705
Spilornis kinabaluensis,368.5,261.5,597.7
Spilornis klossi,297.2,209.4,450
Spilornis rufipectus,328.6,221.5,705
Spizaetus isidori,484.4,376.2,1197.4
Spizaetus melanoleucus,400.6,275.4,850
Spizaetus ornatus,353,287.3,1197.4
Spizaetus tyrannus,384.4,315.6,1007.1
Stephanoaetus coronatus,496.4,393,3640
Terathopius ecaudatus,500.4,266,2200
Torgos tracheliotos,711.4,434.5,6969
Trigonoceps occipitalis,618,349.2,3016
Urotriorchis macrourus,286.5,218.2,492
Pandion haliaetus,468.4,253,1483.2
Sagittarius serpentarius,615.5,365.2,4017
Aix galericulata,222.2,110.6,567
Aix sponsa,220.5,111,657.6
Alopochen aegyptiaca,356,233.2,1873
Amazonetta brasiliensis,180.6,126.6,500
Anas acuta,256.7,107.8,944.6
Anas albogularis,186.8,103.6,488.1
Anas andium,224.2,124.8,434
Anas aucklandica,134.8,85,499.1
Anas bahamensis,205.5,113.2,490
Anas bernieri,194.7,121.7,378.5
Anas capensis,193.2,99.6,402
Anas castanea,202,114.3,624
Anas chlorotis,196.6,99.9,499.1
Anas crecca,178.8,84.2,341.9
Anas diazi,244.5,125.2,843.4
Anas eatoni,203.2,91.4,944.6
Anas erythrorhyncha,215,115,558.8
Anas flavirostris,191,95.7,434
Anas fulvigula,244.5,125.2,843.4
Anas georgica,205.6,109.7,623.8
Anas gibberifrons,193.4,107,488.1
Anas gracilis,192.2,102,488.1
Anas laysanensis,198.5,114.5,843.4
Anas luzonica,237,131.8,832
Anas melleri,245.6,127.2,959.2
Anas nesiotis,122,79.4,499.1
Anas platyrhynchos,263.4,129.9,843.4
Anas poecilorhyncha,272,146.5,1000
Anas rubripes,267.2,129.2,1241
Anas sparsa,247.4,136.8,981.5
Anas superciliosa,251.2,132.8,882.8
Anas undulata,240.6,128.8,1008
Anas wyvilliana,220,118.2,843.4
Anas zonorhyncha,268.2,136,1156
Anser albifrons,408.2,192.8,2506.4
Anser anser,435.7,229.4,3302.4
Anser brachyrhynchus,432.2,217,2642
Anser caerulescens,411.8,194.2,2636.2
Anser canagicus,374,185.5,2136.5
Anser cygnoides,422.2,227.2,3511.9
Anser erythropus,369,173,1755.5
Anser fabalis,452.8,226,2754.7
