series,timestamp,value,label
Set,2017-07-27T00:00:00.000Z,185,
Rise,2017-07-27T00:00:00.000Z,1105,label_1
Set,2017-07-28T00:00:00.000Z,200,
Rise,2017-07-28T00:00:00.000Z,1120,
Set,2017-07-29T00:00:00.000Z,180,
Rise,2017-07-29T00:00:00.000Z,1130,
Set,2017-07-30T00:00:00.000Z,185,
Rise,2017-07-30T00:00:00.000Z,1120,
Set,2017-07-31T00:00:00.000Z,190,
Rise,2017-07-31T00:00:00.000Z,1125,
Set,2017-08-01T00:00:00.000Z,190,
Rise,2017-08-01T00:00:00.000Z,1120,
Set,2017-08-02T00:00:00.000Z,185,
Rise,2017-08-02T00:00:00.000Z,1115,
Set,2017-08-03T00:00:00.000Z,190,
Rise,2017-08-03T00:00:00.000Z,1110,
Set,2017-08-04T00:00:00.000Z,190,
Rise,2017-08-04T00:00:00.000Z,1130,
Set,2017-08-05T00:00:00.000Z,210,
Rise,2017-08-05T00:00:00.000Z,1115,
Set,2017-08-06T00:00:00.000Z,215,
Rise,2017-08-06T00:00:00.000Z,1110,
Set,2017-08-07T00:00:00.000Z,220,
Rise,2017-08-07T00:00:00.000Z,1090,
Set,2017-08-08T00:00:00.000Z,235,
Rise,2017-08-08T00:00:00.000Z,1105,
Set,2017-08-09T00:00:00.000Z,250,label_1
Rise,2017-08-09T00:00:00.000Z,1090
