series,timestamp,value,label
Set,2017-07-27T03:05:00.000Z,905,1
Rise,2017-07-27T18:30:00.000Z,390,discard
Set,2017-07-28T03:20:00.000Z,920,discard
Rise,2017-07-28T18:45:00.000Z,405,1
Set,2017-07-29T03:00:00.000Z,900,1
Rise,2017-07-29T18:55:00.000Z,415,discard
Set,2017-07-30T03:05:00.000Z,905,1
Rise,2017-07-30T18:45:00.000Z,405,1
Set,2017-07-31T03:10:00.000Z,910,1
Rise,2017-07-31T18:50:00.000Z,410,1
Set,2017-08-01T03:10:00.000Z,910,1
Rise,2017-08-01T18:45:00.000Z,405,1
Set,2017-08-02T03:05:00.000Z,905,1
Rise,2017-08-02T18:40:00.000Z,400,1
Set,2017-08-03T03:10:00.000Z,910,1
Rise,2017-08-03T18:35:00.000Z,395,1
Set,2017-08-04T03:10:00.000Z,910,1
Rise,2017-08-04T18:55:00.000Z,415,discard
Set,2017-08-05T03:30:00.000Z,930,2
Rise,2017-08-05T18:40:00.000Z,400,2
Set,2017-08-06T03:35:00.000Z,935,3
Rise,2017-08-06T18:35:00.000Z,395,3
Set,2017-08-07T03:40:00.000Z,940,4
Rise,2017-08-07T18:15:00.000Z,375,4
Set,2017-08-08T03:55:00.000Z,955,5
Rise,2017-08-08T18:30:00.000Z,390,5
Set,2017-08-09T04:10:00.000Z,970,5
Rise,2017-08-09T18:15:00.000Z,375,5
